code,i_date,time,open,high,low,close,vol,amount
HKHSI,642614400,1990-05-14,2963.51,2988.8101,2963.51,2976.4399,0,0
HKHSI,642700800,1990-05-15,2978.0,2990.1499,2960.7,2965.0901,0,0
HKHSI,642787200,1990-05-16,2964.0,2964.05,2931.9299,2948.8899,0,0
HKHSI,642873600,1990-05-17,2948.0,2949.01,2906.74,2917.6299,0,0
HKHSI,642960000,1990-05-18,2909.3301,2941.54,2909.3301,2925.8899,0,0
HKHSI,643219200,1990-05-21,2925.04,2938.47,2925.04,2930.8301,0,0
HKHSI,643305600,1990-05-22,2925.3999,2971.5801,2925.3999,2970.8701,0,0
HKHSI,643392000,1990-05-23,2970.8701,3034.6001,2970.8701,3028.3101,0,0
HKHSI,643478400,1990-05-24,3028.3101,3054.1499,3028.3101,3048.01,0,0
HKHSI,643564800,1990-05-25,3049.0,3068.6799,3037.1001,3059.5,0,0
HKHSI,643910400,1990-05-29,3059.0,3059.5,3024.6101,3048.55,0,0
HKHSI,643996800,1990-05-30,3048.48,3087.1599,3048.48,3083.3501,0,0
HKHSI,644083200,1990-05-31,3084.2,3137.6899,3084.2,3132.3201,0,0
HKHSI,644169600,1990-06-01,3139.5701,3166.72,3139.5701,3159.1699,0,0
HKHSI,644428800,1990-06-04,3159.0,3200.3301,3150.5701,3153.22,0,0
HKHSI,644515200,1990-06-05,3153.0,3179.0,3152.6899,3159.0601,0,0
HKHSI,644601600,1990-06-06,3159.0,3172.49,3138.8799,3172.49,0,0
HKHSI,644688000,1990-06-07,3172.0,3172.49,3143.9099,3145.3,0,0
HKHSI,644774400,1990-06-08,3144.0,3179.4399,3136.23,3174.3301,0,0
HKHSI,645033600,1990-06-11,3174.0,3174.3301,3148.8101,3154.99,0,0
HKHSI,645120000,1990-06-12,3157.9299,3207.54,3157.9299,3203.0,0,0
HKHSI,645206400,1990-06-13,3203.0,3226.9199,3184.6101,3185.1399,0,0
HKHSI,645292800,1990-06-14,3185.0,3199.3899,3180.3799,3191.55,0,0
HKHSI,645379200,1990-06-15,3189.0,3205.29,3176.0801,3201.52,0,0
HKHSI,645724800,1990-06-19,3200.0,3229.3301,3185.21,3229.02,0,0
HKHSI,645811200,1990-06-20,3229.0,3250.04,3214.71,3234.3899,0,0
HKHSI,645897600,1990-06-21,3234.0,3259.47,3230.45,3246.21,0,0
HKHSI,645984000,1990-06-22,3246.0,3253.1699,3226.6899,3250.4399,0,0
HKHSI,646243200,1990-06-25,3250.0,3276.47,3246.6299,3276.4399,0,0
HKHSI,646329600,1990-06-26,3278.1499,3305.28,3278.1499,3292.3501,0,0
HKHSI,646416000,1990-06-27,3292.0,3293.5,3258.98,3284.47,0,0
HKHSI,646502400,1990-06-28,3284.0,3284.47,3266.5,3273.28,0,0
HKHSI,646588800,1990-06-29,3272.0,3281.1201,3255.9399,3278.24,0,0
HKHSI,646848000,1990-07-02,3278.24,3323.4399,3278.24,3319.47,0,0
HKHSI,646934400,1990-07-03,3319.47,3365.54,3319.47,3356.55,0,0
HKHSI,647020800,1990-07-04,3356.0,3366.7,3338.3101,3363.49,0,0
HKHSI,647107200,1990-07-05,3363.0,3369.98,3338.3101,3356.4399,0,0
HKHSI,647193600,1990-07-06,3345.0,3360.95,3325.74,3357.6101,0,0
